id;matchDay;date;time;clubIdHome;clubIdGuest;goalsHome;goalsGuest
138;16;20.12.2023;17:30;15;14;2;0
139;16;20.12.2023;19:30;3;12;4;0
140;16;20.12.2023;19:30;17;10;2;1
141;16;20.12.2023;19:30;5;2;1;2
142;16;20.12.2023;19:30;11;9;3;0
143;16;20.12.2023;19:30;6;8;3;2
144;17;12.01.2024;19:30;2;7;3;0
145;17;13.01.2024;14:30;4;17;0;1
146;17;13.01.2024;14:30;8;15;0;0
147;17;13.01.2024;14:30;16;5;1;1
148;17;13.01.2024;14:30;14;6;1;1
149;17;13.01.2024;14:30;9;3;0;1
150;17;13.01.2024;17:30;18;13;0;3
151;17;14.01.2024;14:30;12;1;1;1
152;17;14.01.2024;16:30;10;11;3;1
153;18;20.01.2024;14:30;8;7;3;2
154;18;20.01.2024;14:30;14;13;0;4
155;18;20.01.2024;14:30;12;11;1;0
156;18;20.01.2024;14:30;6;5;1;1
157;18;20.01.2024;14:30;18;17;2;2
158;18;20.01.2024;17:30;4;3;2;3
159;18;21.01.2024;14:30;2;1;0;1
160;18;21.01.2024;16:30;10;9;1;2
161;13;24.01.2024;19:30;2;15;1;0
162;19;26.01.2024;19:30;17;16;1;0
163;19;27.01.2024;14:30;5;14;1;1
164;19;27.01.2024;14:30;7;6;1;1
165;19;27.01.2024;14:30;1;8;3;1
166;19;27.01.2024;14:30;9;2;2;3
167;19;27.01.2024;14:30;11;4;5;2
168;19;27.01.2024;17:30;3;10;0;0
169;19;28.01.2024;14:30;15;18;1;0
170;19;28.01.2024;16:30;13;12;3;1
171;20;02.02.2024;19:30;6;13;0;0
172;20;03.02.2024;14:30;2;10;3;1
173;20;03.02.2024;14:30;8;11;1;3
174;20;03.02.2024;14:30;16;1;0;1
175;20;03.02.2024;14:30;12;9;1;1
176;20;03.02.2024;14:30;18;3;0;2
177;20;03.02.2024;17:30;14;17;2;0
178;20;04.02.2024;14:30;5;7;2;2
179;20;04.02.2024;16:30;4;15;2;0
180;18;07.02.2024;17:30;16;15;1;1
181;21;09.02.2024;19:30;13;8;3;0
182;21;10.02.2024;14:30;15;5;1;0
183;21;10.02.2024;14:30;17;12;1;1
184;21;10.02.2024;14:30;10;18;0;0
185;21;10.02.2024;14:30;1;6;1;2
186;21;10.02.2024;14:30;9;4;2;2
187;21;10.02.2024;17:30;3;2;3;0
188;21;11.02.2024;14:30;11;16;3;1
189;21;11.02.2024;16:30;7;14;1;1
190;22;16.02.2024;19:30;14;1;0;1
191;22;17.02.2024;14:30;5;13;1;1
192;22;17.02.2024;14:30;16;9;1;0
193;22;17.02.2024;14:30;7;15;0;1
194;22;17.02.2024;14:30;6;3;1;2
195;22;17.02.2024;14:30;18;11;1;2
196;22;17.02.2024;17:30;4;10;2;0
197;22;18.02.2024;14:30;8;17;3;3
198;22;18.02.2024;16:30;12;2;3;2
199;23;23.02.2024;19:30;3;16;2;1
200;23;24.02.2024;14:30;15;6;2;2
201;23;24.02.2024;14:30;10;12;5;2
202;23;24.02.2024;14:30;1;18;1;1
203;23;24.02.2024;14:30;11;14;1;1
204;23;24.02.2024;17:30;2;4;2;1
205;23;25.02.2024;14:30;17;5;2;2
206;23;25.02.2024;16:30;13;7;2;3
207;23;25.02.2024;18:30;9;8;2;1
208;24;01.03.2024;19:30;8;2;2;2
209;24;02.03.2024;14:30;15;13;0;2
